study,profession,pop,creative_group,control_group,h,rl_sm,n,n_creative,n_control,PL_creative,PL_control,es_type,lower,effect,upper,chi_sq,p,correction,method,notes,details,include,exclude_rnr,model_obj
shettel-neuber_1983,Architecture,Faculty,Architecture,Law,SR (3pt),R/L,NA,23,24,4.3478260869565215,16.666666666666664,RR,0.031458264990574865,0.2608695652173913,2.1632766485087447,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,0,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,Psychology,SR (3pt),S/M,NA,23,29,0,0,OR,NA,NA,NA,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,0,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,Psychology,SR (3pt),S/M,NA,23,29,0,0,RR,NA,NA,NA,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,0,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,Psychology,SR (3pt),S/M,NA,23,29,4.3478260869565215,3.4482758620689653,OR,0.07529569594306812,1.2727272727272727,21.512978802514507,1.4391093695246283e-31,0.9999999999999997,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,0,1,
shettel-neuber_1983,Architecture,Faculty,Architecture,Psychology,SR (3pt),S/M,NA,23,29,4.3478260869565215,3.4482758620689653,RR,0.0832884149375855,1.2608695652173914,19.087793442615624,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,0,1,
shettel-neuber_1983,Architecture,Faculty,Architecture,Psychology,SR (3pt),R/L,NA,23,29,4.3478260869565215,3.4482758620689653,OR,0.07529569594306812,1.2727272727272727,21.512978802514507,1.4391093695246283e-31,0.9999999999999997,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,0,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,Psychology,SR (3pt),R/L,NA,23,29,4.3478260869565215,3.4482758620689653,RR,0.0832884149375855,1.2608695652173914,19.087793442615624,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,0,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,"Law, Psychology",SR (3pt),S/M,NA,23,55,0,3.6363636363636362,OR,0,0,NA,0.019877262325774917,0.8878804135346339,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,1,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,"Law, Psychology",SR (3pt),S/M,NA,23,55,0,3.6363636363636362,RR,0,0,NA,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,(SR+SL)/M,NA,1,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,"Law, Psychology",SR (3pt),S/M,NA,23,55,4.3478260869565215,12.727272727272727,OR,0.036118497602710326,0.3116883116883117,2.689746531312534,0.49427159796724984,0.4820280048858295,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,1,1,
shettel-neuber_1983,Architecture,Faculty,Architecture,"Law, Psychology",SR (3pt),S/M,NA,23,55,4.3478260869565215,12.727272727272727,RR,0.0445094387567972,0.34161490683229817,2.621932512061118,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/(M + SL),NA,1,1,
shettel-neuber_1983,Architecture,Faculty,Architecture,"Law, Psychology",SR (3pt),R/L,NA,23,53,4.3478260869565215,9.433962264150944,OR,0.04808350017757299,0.43636363636363634,3.9600532914055195,0.08550333997421776,0.7699735137949588,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,1,0,
shettel-neuber_1983,Architecture,Faculty,Architecture,"Law, Psychology",SR (3pt),R/L,NA,23,53,4.3478260869565215,9.433962264150944,RR,0.05697432377003592,0.46086956521739125,3.728008374456103,NA,NA,FALSE,Unconditional MLE & normal approximation (Wald) CI,SR/SL,NA,1,0,
