est_id,study,profession,pop,group1,group2,h,rl_sm,n_creative,n_left_creative,n_right_creative,n_control,n_left_control,n_right_control,PL_creative,PL_control,es_type,lower,effect,upper,chi_sq,p,correction,method,notes,comparison,pref_success,include,exclude_rnr,model_obj,se,inv_var
21,aggleton_1994,Music,Professionals,Instrumental musicians,British adults,EHI,R/L,623,76,547,1538,129,1409,12.199036918138042,8.387516254876463,OR,1.1240069079492454,1.5175658631294022,2.0489252625124252,7.06,0.00786220244261652,NA,Score,NA,0-split,success,1,0,NA,0.23595289552737145,17.96178019952201
22,aggleton_1994,Music,Professionals,Composers,British adults,EHI,R/L,331,36,295,1538,129,1409,10.876132930513595,8.387516254876463,OR,0.903213257329337,1.3329128892392592,1.967040182241626,1.8,0.17994899487500116,NA,Score,NA,0-split,success,1,0,NA,0.27138940646451165,13.577325117588336
23,aggleton_1994,Music,Professionals,Choir Members,British adults,EHI,R/L,584,73,511,1538,129,1409,12.5,8.387516254876463,OR,1.151087570632106,1.5603543743078627,2.1151351430931458,7.84,0.00510823102834106,NA,Score,NA,0-split,success,1,0,NA,0.24593502229258402,16.5332884431038
24,aggleton_1994,Music,Professionals,Instrumental musicians,British adults,EHI,S/M,623,102,521,1538,169,1369,16.37239165329053,10.988296488946684,OR,1.2164474023854437,1.5859123896921032,2.0675929784113936,11.23,8.034168413288397e-4,NA,Score,NA,(SR+SL)/(ML+MR),success,1,0,NA,0.21713296334516294,21.210381549650773
25,aggleton_1994,Music,Professionals,Composers,British adults,EHI,S/M,331,52,279,1538,169,1369,15.709969788519636,10.988296488946684,OR,1.0787244594209204,1.5097877033360905,2.1131057975347303,5.38,0.02036726208125058,NA,Score,NA,(SR+SL)/(ML+MR),success,1,0,NA,0.26387763914869816,14.361335241739942
26,aggleton_1994,Music,Professionals,Choir Members,British adults,EHI,S/M,584,92,492,1538,169,1369,15.753424657534246,10.988296488946684,OR,1.1514548519717658,1.5147447924183384,1.9926545814883043,8.47,0.00360316584342875,NA,Score,NA,(SR+SL)/(ML+MR),success,1,0,NA,0.21459571098035854,21.7149045455822
27,quinan_1922,Music,Professionals,Instrumental musicians,Machinists,1i_2pt,R/L,100,8,92,100,4,96,8,4,OR,0.6414261346974062,2.0869565217391304,6.756313050347405,0.8,0.37173026702997414,NA,Score,NA,R/L,success,1,0,NA,1.5599487959685607,0.4109408487123445
28,fry_1990,Music,Students,Music theory/composition,Non-music,0-split,R/L,31,6,25,335,47,288,19.35483870967742,14.029850746268655,OR,0.5884852416653761,1.4706382978723402,3.6935718752132702,0.29,0.5896811603503079,NA,Score,NA,R/L,pref,1,0,NA,0.7921284926765038,1.5937079164288601
29,fry_1990,Architecture,Students,Architecture,Non-architecture,0-split,R/L,69,12,57,297,41,256,17.391304347826086,13.804713804713806,OR,0.6560294354540979,1.3145057766367136,2.6391849542725137,0.33,0.5668125051440013,NA,Score,NA,R/L,pref,1,0,NA,0.5059163164377749,3.9069929507582084
30,oldfield_1969,Music,Students/Faculty,Music students and faculty,Psychology undergrads,22i_3pt,R/L,129,13,116,1128,157,971,10.07751937984496,13.918439716312056,OR,0.3841880950809576,0.6931144300461235,1.2516994329300246,1.15,0.28348758270215524,NA,Score,NA,0-split,preference,1,0,NA,0.221307979302652,20.417654681671674
31,byrne_1974,Music,Students,Singers,General students,EHI,R/L,109,7,102,678,38,640,6.422018348623854,5.604719764011799,OR,0.5126653086271842,1.1558307533539731,2.6110952570379564,0.01,0.9053716492232732,NA,Score,NA,SR/SL,preference,1,0,NA,0.5353235990464419,3.4895322931741064
